Timestamp,Username,What is the most important factor for you when choosing a flatmate? ,How do you prefer your flatmate’s daily routine to be? ,What level of social activity do you expect from your flatmate?  ,"How do you feel about sharing expenses with a flatmate?
",Which quality do you think is a deal-breaker in a flatmate?  ,How important is having similar hobbies or interests with your flatmate?  
2025-08-31 08:08:48,amyjordan@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 18:07:52,ryan20@james.net,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 01:34:40,eharris@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Doesn’t matter to me,Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 03:38:13,brettmorris@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 11:33:03,brownjessica@cooper-lopez.com,Cleanliness & hygiene,Doesn’t matter to me,Very social (likes to hang out often),"Flexible, based on usage",Lack of cleanliness,Very important (I want to share activities)
2025-08-30 02:27:48,kevin18@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 12:38:37,ryanburke@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 16:07:25,utaylor@yahoo.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 18:55:56,kimberlycollins@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Very important (I want to share activities)
2025-08-30 14:36:50,msmith@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 13:29:37,twilliams@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 08:44:29,bwilson@yahoo.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 13:47:12,alyssa18@neal.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 00:07:58,bdavis@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),I prefer to keep finances separate,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 01:58:14,erin14@rios-brown.org,Friendly & cooperative nature,Early bird,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 00:44:25,kimberlyrichardson@smith-deleon.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 12:19:52,louis53@shaffer.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 11:21:25,zshaw@bruce.info,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 00:42:54,bushmary@dean-fletcher.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,Strictly 50-50 split,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 10:36:21,lmerritt@burton-hall.com,Friendly & cooperative nature,Early bird,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 21:40:14,megan15@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 13:44:39,mbrandt@gmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 21:22:27,cking@hotmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 15:16:20,cvega@hotmail.com,Similar lifestyle & interests,Friendly & cooperative nature,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 13:42:22,jeffrey79@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 15:33:26,wilsoncaitlin@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,I prefer completely different hobbies
2025-08-31 18:47:57,courtneymorgan@hotmail.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 08:39:07,sheryl32@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 19:34:55,gibsonnicholas@miller.info,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 12:26:17,frank30@harris.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 11:17:26,jennifermcfarland@mayer.net,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 23:41:01,qvaldez@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 01:12:23,fosterraymond@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 18:59:08,washingtonnatasha@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 08:58:25,mullinsjoshua@higgins-anderson.biz,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 17:45:06,ellistodd@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 23:56:09,mboone@roberts.net,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 08:02:00,anthony87@jones.org,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 20:05:24,icochran@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 16:24:39,gwhitehead@ferrell-barrett.org,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 21:45:00,ggraves@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 01:22:10,kevin32@nelson.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 20:56:16,gallowayandrew@yahoo.com,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 05:23:43,vlucas@gmail.com,Cleanliness & hygiene,Early bird,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 14:47:02,ronald24@suarez-adams.org,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 18:02:34,cooperpatricia@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 21:05:39,susanwise@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
